usage_date,billing_period,account_id,account_name,business_unit,environment,region,service_name,product_name,team,cost_usd,usage_quantity,usage_unit,monthly_revenue_proxy,active_customers,workflows_processed,enterprise_customer_flag,sla_tier,budget_amount,forecast_baseline_cost,acquisition_phase,tag_owner,tag_environment,tag_product,tag_cost_center,allocation_status,anomaly_flag
2025-10-01,2025-10,1001,legacy-core-prod,core-platform,prod,us-east-1,AWS Fargate,workflow-intelligence,product-analytics,154.94,113739.29,compute-hours,2051595.1,4239,94835,0,standard,205779.81,204731.49,pre-integration,product-analytics,prod,workflow-intelligence,core-platform,allocated,0
2025-10-01,2025-10,1001,legacy-core-prod,core-platform,dev,us-east-1,AWS Glue,reporting-api,data,0.2,992.22,job-runs,493547.76,1747,5523,0,standard,60251.71,62851.43,pre-integration,data,dev,reporting-api,core-platform,allocated,0
2025-10-01,2025-10,1001,legacy-core-prod,core-platform,staging,us-east-1,AWS Glue,workflow-intelligence,platform,1.27,6617.35,job-runs,1995138.74,4257,31599,0,standard,186378.38,188504.51,pre-integration,platform,staging,workflow-intelligence,core-platform,allocated,0
2025-10-01,2025-10,1001,legacy-core-prod,core-platform,dev,us-east-1,AWS Lambda,ai-assistant,data,8.85,20207.24,requests,1542569.28,2773,24840,0,premium,235530.08,230232.22,pre-integration,data,dev,ai-assistant,core-platform,allocated,0
2025-10-01,2025-10,1001,legacy-core-prod,core-platform,dev,us-east-1,AWS Lambda,reporting-api,ml-engineering,2.09,4853.03,requests,633445.34,1653,5261,1,premium,71551.15,74126.97,pre-integration,ml-engineering,dev,reporting-api,core-platform,allocated,0
2025-10-01,2025-10,1001,legacy-core-prod,core-platform,dev,us-east-1,Amazon Athena,reporting-api,data,0.13,737.25,queries,531675.03,1660,4009,1,enterprise,61341.94,60781.07,pre-integration,data,dev,reporting-api,core-platform,allocated,0
2025-10-01,2025-10,1001,legacy-core-prod,core-platform,staging,us-east-1,Amazon Athena,workflow-intelligence,data,0.81,5605.14,queries,1333118.4,4212,34573,0,standard,177215.62,188723.26,pre-integration,data,staging,workflow-intelligence,core-platform,allocated,0
2025-10-01,2025-10,1001,legacy-core-prod,core-platform,prod,us-east-1,Amazon CloudWatch,workflow-intelligence,data,12.29,74599.69,logs-metrics-events,2535962.72,4231,90476,0,premium,363860.84,384553.59,pre-integration,data,prod,workflow-intelligence,core-platform,allocated,0
2025-10-01,2025-10,1001,legacy-core-prod,core-platform,prod,us-east-1,Amazon EBS,ai-assistant,platform,21.48,82286.93,gb-month-proxy,1209722.06,2769,75166,0,premium,109103.89,117457.56,pre-integration,platform,prod,ai-assistant,core-platform,allocated,0
2025-10-01,2025-10,1001,legacy-core-prod,core-platform,prod,us-east-1,Amazon EC2,workflow-intelligence,product-analytics,95.57,83874.79,compute-hours,2224273.38,4137,72548,0,premium,279076.74,276945.9,pre-integration,product-analytics,prod,workflow-intelligence,core-platform,allocated,0
2025-10-01,2025-10,1001,legacy-core-prod,core-platform,prod,us-east-1,Amazon RDS,reporting-api,data,19.85,19458.82,db-hours,910206.06,1793,22176,0,standard,117732.75,110520.67,pre-integration,data,prod,reporting-api,core-platform,allocated,0
2025-10-01,2025-10,1001,legacy-core-prod,core-platform,staging,us-east-1,Amazon RDS,ai-assistant,platform,136.26,41401.58,db-hours,962420.06,2684,40834,1,enterprise,120494.47,125057.52,pre-integration,platform,staging,ai-assistant,core-platform,allocated,0
2025-10-01,2025-10,1001,legacy-core-prod,core-platform,prod,us-east-1,Amazon S3,ai-assistant,platform,18.35,63615.76,gb-month-proxy,1545418.7,2682,102825,0,standard,172647.05,163784.11,pre-integration,platform,prod,,core-platform,partially-allocated,0
2025-10-01,2025-10,1001,legacy-core-prod,core-platform,prod,us-east-1,Data Transfer,ai-assistant,product-analytics,18.28,58659.23,gb-transfer,1563148.14,2804,94749,0,standard,195644.79,211147.02,pre-integration,product-analytics,prod,ai-assistant,core-platform,allocated,0
2025-10-01,2025-10,1001,legacy-core-prod,core-platform,prod,us-east-1,Data Transfer,reporting-api,product-analytics,5.29,15314.03,gb-transfer,572977.13,1757,21048,0,standard,63643.22,61738.62,pre-integration,product-analytics,prod,reporting-api,core-platform,allocated,0
2025-10-01,2025-10,1002,acquired-ai-platform,ai-products,dev,us-east-1,AWS Fargate,ai-assistant,data,33.61,25432.13,compute-hours,1100410.32,2729,25610,0,standard,135744.36,144611.64,pre-integration,data,dev,ai-assistant,ai-products,allocated,0
2025-10-01,2025-10,1002,acquired-ai-platform,ai-products,prod,us-east-1,AWS Fargate,workflow-intelligence,data,80.5,66475.68,compute-hours,2615184.79,4223,76092,0,premium,356025.87,383246.48,pre-integration,data,prod,workflow-intelligence,ai-products,allocated,0
2025-10-01,2025-10,1002,acquired-ai-platform,ai-products,prod,us-east-1,AWS Glue,reporting-api,ml-engineering,0.64,3274.66,job-runs,506348.5,1728,19171,0,standard,46394.57,44118.28,pre-integration,ml-engineering,prod,reporting-api,ai-products,allocated,0
2025-10-01,2025-10,1002,acquired-ai-platform,ai-products,prod,us-east-1,AWS Lambda,workflow-intelligence,platform,46.61,105819.66,requests,2217993.77,4290,97250,0,premium,304388.47,328590.77,pre-integration,platform,prod,workflow-intelligence,ai-products,allocated,0
2025-10-01,2025-10,1002,acquired-ai-platform,ai-products,dev,us-east-1,AWS Lambda,reporting-api,data,1.28,3222.28,requests,491919.37,1550,3653,0,standard,67842.39,62664.03,pre-integration,data,dev,reporting-api,ai-products,allocated,0
2025-10-01,2025-10,1002,acquired-ai-platform,ai-products,staging,us-east-1,AWS Lambda,ai-assistant,data,17.3,43884.57,requests,964703.39,3017,50605,0,premium,130948.38,123421.71,pre-integration,data,staging,ai-assistant,ai-products,allocated,0
2025-10-01,2025-10,1002,acquired-ai-platform,ai-products,prod,us-east-1,Amazon Athena,workflow-intelligence,ml-engineering,2.32,15160.11,queries,2094873.9,4183,75843,1,premium,297495.4,287736.3,pre-integration,ml-engineering,prod,workflow-intelligence,ai-products,allocated,0
2025-10-01,2025-10,1002,acquired-ai-platform,ai-products,prod,us-east-1,Amazon EBS,workflow-intelligence,platform,22.19,86511.35,gb-month-proxy,1808139.35,4205,73382,0,premium,287489.61,279949.05,pre-integration,platform,prod,workflow-intelligence,ai-products,allocated,0
2025-10-01,2025-10,1002,acquired-ai-platform,ai-products,prod,us-east-1,Amazon EC2,reporting-api,product-analytics,21.93,18409.26,compute-hours,665854.7,1809,21186,0,standard,61947.54,64621.37,pre-integration,,prod,reporting-api,ai-products,unallocated,0
2025-10-01,2025-10,1002,acquired-ai-platform,ai-products,prod,us-east-1,Amazon RDS,workflow-intelligence,product-analytics,57.05,66633.04,db-hours,1162380.96,4158,80263,1,premium,182744.75,197222.62,pre-integration,product-analytics,prod,workflow-intelligence,ai-products,allocated,0
2025-10-01,2025-10,1002,acquired-ai-platform,ai-products,staging,us-east-1,Amazon S3,ai-assistant,product-analytics,4.9,17091.83,gb-month-proxy,954737.37,2618,38432,0,premium,147040.93,152128.55,pre-integration,product-analytics,staging,ai-assistant,ai-products,allocated,0
2025-10-01,2025-10,1002,acquired-ai-platform,ai-products,staging,us-east-1,Data Transfer,reporting-api,product-analytics,1.49,5251.28,gb-transfer,949417.89,1572,8248,0,standard,132012.81,125947.8,pre-integration,product-analytics,staging,reporting-api,ai-products,allocated,0
2025-10-01,2025-10,1002,acquired-ai-platform,ai-products,prod,us-east-1,Data Transfer,workflow-intelligence,ml-engineering,12.0,39915.04,gb-transfer,2239456.83,4229,76694,0,premium,327316.79,342036.51,pre-integration,,prod,workflow-intelligence,ai-products,partially-allocated,0
2025-10-01,2025-10,1002,acquired-ai-platform,ai-products,dev,us-east-1,Data Transfer,ai-assistant,data,4.22,12656.59,gb-transfer,1705735.14,2923,24015,0,standard,157222.63,147567.94,pre-integration,,dev,ai-assistant,,allocated,0
2025-10-01,2025-10,1002,acquired-ai-platform,ai-products,prod,us-east-1,Support / Shared Platform,workflow-intelligence,ml-engineering,0.8,7994.24,shared-unit,2538653.38,4231,79691,0,premium,234688.73,241036.74,pre-integration,ml-engineering,prod,workflow-intelligence,ai-products,allocated,0
2025-10-01,2025-10,1003,shared-services,shared-ops,staging,us-east-1,AWS Fargate,workflow-intelligence,platform,51.44,39510.45,compute-hours,2092192.76,4021,38473,0,standard,196673.8,207127.07,pre-integration,platform,staging,workflow-intelligence,shared-ops,allocated,0
2025-10-01,2025-10,1003,shared-services,shared-ops,dev,us-east-1,AWS Glue,reporting-api,ml-engineering,0.21,1067.12,job-runs,909929.94,1710,5194,0,standard,142191.38,139176.19,pre-integration,ml-engineering,dev,reporting-api,shared-ops,unallocated,0
2025-10-01,2025-10,1003,shared-services,shared-ops,prod,us-east-1,AWS Glue,ai-assistant,platform,2.91,13809.63,job-runs,871486.63,2897,88003,0,standard,94795.25,95257.26,pre-integration,platform,prod,,shared-ops,partially-allocated,0
2025-10-01,2025-10,1003,shared-services,shared-ops,prod,us-east-1,AWS Lambda,workflow-intelligence,ml-engineering,28.36,71061.2,requests,1875973.22,4248,74800,0,standard,221483.3,231699.49,pre-integration,ml-engineering,prod,workflow-intelligence,shared-ops,partially-allocated,0
2025-10-01,2025-10,1003,shared-services,shared-ops,staging,us-east-1,AWS Lambda,ai-assistant,platform,13.57,34020.88,requests,782521.54,2677,33635,1,enterprise,78102.53,74516.2,pre-integration,platform,staging,ai-assistant,shared-ops,unallocated,0
