column_name,description
usage_date,Date of usage at daily granularity
billing_period,Billing month label in YYYY-MM format
account_id,AWS account identifier
account_name,Human-readable AWS account label
business_unit,Business unit or portfolio grouping
environment,Deployment environment
region,AWS region
service_name,AWS service or cost category
product_name,Product or workload slice
team,Owning or associated team
cost_usd,Daily cost in USD (scaled for post-acquisition scenario)
usage_quantity,Usage quantity proxy associated with the service
usage_unit,Unit for usage_quantity
monthly_revenue_proxy,Revenue proxy associated with the workload (scaled with business size)
active_customers,Estimated active customer count (scaled with business size)
workflows_processed,Estimated workflows processed (scaled with business size)
enterprise_customer_flag,Whether enterprise customer mix is present
sla_tier,Service level expectation
budget_amount,Budgeted cloud cost amount for the relevant scope
forecast_baseline_cost,Forecast baseline for the relevant scope
acquisition_phase,"Pre-integration, integration, or post-integration"
tag_owner,Synthetic owner tag
tag_environment,Synthetic environment tag (includes some inconsistent values)
tag_product,Synthetic product tag
tag_cost_center,Synthetic cost center tag
allocation_status,"Allocated, partially-allocated, or unallocated"
anomaly_flag,Indicates whether the row is part of a planted anomaly pattern
